package_name,class_name,method_name,type,Harmony API Package Name,Harmony API Class Name,Harmony API Methods,Harmony API Type
android.view,PointerIcon,create,class,,,,
android.view,PointerIcon,getSystemIcon,class,,,,
android.view,PointerIcon,load,class,,,,
android.view,PointerIcon,describeContents,class,,,,
android.view,PointerIcon,equals,class,,,,
android.view,PointerIcon,writeToParcel,class,,,,
java.lang,SuppressWarnings,value,interface,,,,
java.security,AlgorithmParametersSpi,,class,,,,
javax.crypto,AEADBadTagException,,class,,,,
android.os,CpuUsageInfo,describeContents,class,,,,
android.os,CpuUsageInfo,getActive,class,,,,
android.os,CpuUsageInfo,getTotal,class,,,,
android.os,CpuUsageInfo,writeToParcel,class,,,,
java.nio.file.attribute,FileAttributeView,,interface,,,,
android.service.controls.templates,TemperatureControlTemplate,getCurrentActiveMode,class,,,,
android.service.controls.templates,TemperatureControlTemplate,getCurrentMode,class,,,,
android.service.controls.templates,TemperatureControlTemplate,getModes,class,,,,
android.service.controls.templates,TemperatureControlTemplate,getTemplate,class,,,,
android.service.controls.templates,TemperatureControlTemplate,getTemplateType,class,,,,
android.view,Display,getAppVsyncOffsetNanos,class,,,,
android.view,Display,getCurrentSizeRange,class,,,,
android.view,Display,getCutout,class,,,,
android.view,Display,getDisplayId,class,,,,
android.view,Display,getFlags,class,,,,
android.view,Display,getHdrCapabilities,class,,,,
android.view,Display,getHeight,class,,,,
android.view,Display,getMetrics,class,,,,
android.view,Display,getMode,class,,,,
android.view,Display,getName,class,,,,
android.view,Display,getOrientation,class,,,,
android.view,Display,getPixelFormat,class,,,,
android.view,Display,getPreferredWideGamutColorSpace,class,,,,
android.view,Display,getPresentationDeadlineNanos,class,,,,
android.view,Display,getRealMetrics,class,,,,
android.view,Display,getRealSize,class,,,,
android.view,Display,getRectSize,class,,,,
android.view,Display,getRefreshRate,class,,,,
android.view,Display,getRotation,class,,,,
android.view,Display,getSize,class,,,,
android.view,Display,getState,class,,,,
android.view,Display,getSupportedModes,class,,,,
android.view,Display,getSupportedRefreshRates,class,,,,
android.view,Display,getWidth,class,,,,
android.view,Display,isHdr,class,,,,
android.view,Display,isMinimalPostProcessingSupported,class,,,,
android.view,Display,isValid,class,,,,
android.view,Display,isWideColorGamut,class,,,,
android.view,Display,toString,class,,,,
android.app.admin,DeviceAdminService,onBind,class,,,,
android.net.wifi.aware,SubscribeConfig$Builder,build,class,,,,
android.net.wifi.aware,SubscribeConfig$Builder,setMatchFilter,class,,,,
android.net.wifi.aware,SubscribeConfig$Builder,setMaxDistanceMm,class,,,,
android.net.wifi.aware,SubscribeConfig$Builder,setMinDistanceMm,class,,,,
android.net.wifi.aware,SubscribeConfig$Builder,setServiceName,class,,,,
android.net.wifi.aware,SubscribeConfig$Builder,setServiceSpecificInfo,class,,,,
android.net.wifi.aware,SubscribeConfig$Builder,setSubscribeType,class,,,,
android.net.wifi.aware,SubscribeConfig$Builder,setTerminateNotificationEnabled,class,,,,
android.net.wifi.aware,SubscribeConfig$Builder,setTtlSec,class,,,,
java.io,InputStream,available,class,,,,
java.io,InputStream,close,class,,,,
java.io,InputStream,mark,class,,,,
java.io,InputStream,markSupported,class,,,,
java.io,InputStream,read,class,,,,
java.io,InputStream,read,class,,,,
java.io,InputStream,read,class,,,,
java.io,InputStream,reset,class,,,,
java.io,InputStream,skip,class,,,,
java.io,InputStreamReader,close,class,,,,
java.io,InputStreamReader,getEncoding,class,,,,
java.io,InputStreamReader,read,class,,,,
java.io,InputStreamReader,read,class,,,,
java.io,InputStreamReader,ready,class,,,,
java.beans,PropertyChangeSupport,addPropertyChangeListener,class,,,,
java.beans,PropertyChangeSupport,addPropertyChangeListener,class,,,,
java.beans,PropertyChangeSupport,fireIndexedPropertyChange,class,,,,
java.beans,PropertyChangeSupport,fireIndexedPropertyChange,class,,,,
java.beans,PropertyChangeSupport,fireIndexedPropertyChange,class,,,,
java.beans,PropertyChangeSupport,firePropertyChange,class,,,,
java.beans,PropertyChangeSupport,firePropertyChange,class,,,,
java.beans,PropertyChangeSupport,firePropertyChange,class,,,,
java.beans,PropertyChangeSupport,firePropertyChange,class,,,,
java.beans,PropertyChangeSupport,getPropertyChangeListeners,class,,,,
java.beans,PropertyChangeSupport,getPropertyChangeListeners,class,,,,
java.beans,PropertyChangeSupport,hasListeners,class,,,,
java.beans,PropertyChangeSupport,removePropertyChangeListener,class,,,,
java.beans,PropertyChangeSupport,removePropertyChangeListener,class,,,,
android.provider,Contacts$SettingsColumns,,interface,,,,
java.io,InterruptedIOException,,class,,,,
android.app,DirectAction,describeContents,class,,,,
android.app,DirectAction,equals,class,,,,
android.app,DirectAction,getExtras,class,,,,
android.app,DirectAction,getId,class,,,,
android.app,DirectAction,getLocusId,class,,,,
android.app,DirectAction,hashCode,class,,,,
android.app,DirectAction,writeToParcel,class,,,,
android.telephony,CellIdentityNr,equals,class,,,,
android.telephony,CellIdentityNr,getAdditionalPlmns,class,,,,
android.telephony,CellIdentityNr,getBands,class,,,,
android.telephony,CellIdentityNr,getMccString,class,,,,
android.telephony,CellIdentityNr,getMncString,class,,,,
android.telephony,CellIdentityNr,getNci,class,,,,
android.telephony,CellIdentityNr,getNrarfcn,class,,,,
android.telephony,CellIdentityNr,getPci,class,,,,
android.telephony,CellIdentityNr,getTac,class,,,,
android.telephony,CellIdentityNr,hashCode,class,,,,
android.telephony,CellIdentityNr,toString,class,,,,
android.telephony,CellIdentityNr,writeToParcel,class,,,,
java.lang,FunctionalInterface,,interface,,,,
android.net.wifi.hotspot2.pps,HomeSp,describeContents,class,,,,
android.net.wifi.hotspot2.pps,HomeSp,equals,class,,,,
android.net.wifi.hotspot2.pps,HomeSp,getFqdn,class,,,,
android.net.wifi.hotspot2.pps,HomeSp,getFriendlyName,class,,,,
android.net.wifi.hotspot2.pps,HomeSp,getRoamingConsortiumOis,class,,,,
android.net.wifi.hotspot2.pps,HomeSp,hashCode,class,,,,
android.net.wifi.hotspot2.pps,HomeSp,setFqdn,class,,,,
android.net.wifi.hotspot2.pps,HomeSp,setFriendlyName,class,,,,
android.net.wifi.hotspot2.pps,HomeSp,setRoamingConsortiumOis,class,,,,
android.net.wifi.hotspot2.pps,HomeSp,toString,class,,,,
android.net.wifi.hotspot2.pps,HomeSp,writeToParcel,class,,,,
android.media,MediaDrm$SecurityLevel,,interface,,,,
android.net.sip,SipAudioCall$Listener,onCallBusy,class,,,,
android.net.sip,SipAudioCall$Listener,onCallEnded,class,,,,
android.net.sip,SipAudioCall$Listener,onCallEstablished,class,,,,
android.net.sip,SipAudioCall$Listener,onCallHeld,class,,,,
android.net.sip,SipAudioCall$Listener,onCalling,class,,,,
android.net.sip,SipAudioCall$Listener,onChanged,class,,,,
android.net.sip,SipAudioCall$Listener,onError,class,,,,
android.net.sip,SipAudioCall$Listener,onReadyToCall,class,,,,
android.net.sip,SipAudioCall$Listener,onRinging,class,,,,
android.net.sip,SipAudioCall$Listener,onRingingBack,class,,,,
android.content.pm,ServiceInfo,describeContents,class,,,,
android.content.pm,ServiceInfo,dump,class,,,,
android.content.pm,ServiceInfo,getForegroundServiceType,class,,,,
